Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
19,2025-05-25T04:41:00+02:00,2025-05-25,12:41,15,12,27
19,2025-05-25T04:46:00+02:00,2025-05-25,12:46,23,5,28
19,2025-05-25T04:48:00+02:00,2025-05-25,12:48,10,14,24
20,2025-05-25T04:43:00+02:00,2025-05-25,12:43,1,3,4
20,2025-05-25T04:44:00+02:00,2025-05-25,12:44,10,3,13
20,2025-05-25T04:47:00+02:00,2025-05-25,12:47,12,6,18
20,2025-05-25T04:49:00+02:00,2025-05-25,12:49,2,3,5
20,2025-05-25T04:50:00+02:00,2025-05-25,12:50,4,3,7
20,2025-05-25T04:52:00+02:00,2025-05-25,12:52,2,5,7
23,2025-05-25T04:40:00+02:00,2025-05-25,12:40,0,3,3
23,2025-05-25T04:44:00+02:00,2025-05-25,12:44,7,5,12
23,2025-05-25T04:45:00+02:00,2025-05-25,12:45,2,6,8
23,2025-05-25T04:47:00+02:00,2025-05-25,12:47,1,8,9
23,2025-05-25T04:50:00+02:00,2025-05-25,12:50,6,3,9
23,2025-05-25T04:52:00+02:00,2025-05-25,12:52,2,1,3
23,2025-05-25T04:53:00+02:00,2025-05-25,12:53,1,2,3
23,2025-05-25T04:54:00+02:00,2025-05-25,12:54,5,1,6
24,2025-05-25T04:44:00+02:00,2025-05-25,12:44,9,2,11
24,2025-05-25T04:46:00+02:00,2025-05-25,12:46,8,5,13
24,2025-05-25T04:48:00+02:00,2025-05-25,12:48,5,7,12
24,2025-05-25T04:50:00+02:00,2025-05-25,12:50,4,5,9
24,2025-05-25T04:52:00+02:00,2025-05-25,12:52,19,8,27
24,2025-05-25T04:54:00+02:00,2025-05-25,12:54,5,3,8
27,2025-05-25T04:41:00+02:00,2025-05-25,12:41,12,3,15
27,2025-05-25T04:43:00+02:00,2025-05-25,12:43,5,10,15
27,2025-05-25T04:44:00+02:00,2025-05-25,12:44,14,3,17
27,2025-05-25T04:45:00+02:00,2025-05-25,12:45,3,7,10
27,2025-05-25T04:49:00+02:00,2025-05-25,12:49,3,3,6
27,2025-05-25T04:50:00+02:00,2025-05-25,12:50,10,0,10
27,2025-05-25T04:51:00+02:00,2025-05-25,12:51,3,9,12
30,2025-05-25T04:43:00+02:00,2025-05-25,12:43,7,1,8
30,2025-05-25T04:44:00+02:00,2025-05-25,12:44,10,4,14
30,2025-05-25T04:50:00+02:00,2025-05-25,12:50,1,16,17
35,2025-05-25T04:41:00+02:00,2025-05-25,12:41,31,26,57
35,2025-05-25T04:42:00+02:00,2025-05-25,12:42,25,12,37
35,2025-05-25T04:48:00+02:00,2025-05-25,12:48,14,19,33
35,2025-05-25T04:49:00+02:00,2025-05-25,12:49,19,25,44
35,2025-05-25T04:52:00+02:00,2025-05-25,12:52,19,27,46
35,2025-05-25T04:53:00+02:00,2025-05-25,12:53,23,18,41
48,2025-05-25T04:43:00+02:00,2025-05-25,12:43,19,5,24
48,2025-05-25T04:48:00+02:00,2025-05-25,12:48,9,7,16
48,2025-05-25T04:53:00+02:00,2025-05-25,12:53,18,14,32
49,2025-05-25T04:47:00+02:00,2025-05-25,12:47,3,6,9
49,2025-05-25T04:50:00+02:00,2025-05-25,12:50,6,8,14
49,2025-05-25T04:52:00+02:00,2025-05-25,12:52,12,7,19
49,2025-05-25T04:54:00+02:00,2025-05-25,12:54,5,1,6
51,2025-05-25T04:43:00+02:00,2025-05-25,12:43,5,0,5
51,2025-05-25T04:47:00+02:00,2025-05-25,12:47,3,1,4
51,2025-05-25T04:53:00+02:00,2025-05-25,12:53,3,3,6
51,2025-05-25T04:54:00+02:00,2025-05-25,12:54,1,0,1
52,2025-05-25T04:44:00+02:00,2025-05-25,12:44,15,6,21
52,2025-05-25T04:45:00+02:00,2025-05-25,12:45,10,10,20
52,2025-05-25T04:46:00+02:00,2025-05-25,12:46,8,4,12
52,2025-05-25T04:48:00+02:00,2025-05-25,12:48,16,5,21
52,2025-05-25T04:49:00+02:00,2025-05-25,12:49,7,1,8
52,2025-05-25T04:51:00+02:00,2025-05-25,12:51,7,11,18
52,2025-05-25T04:54:00+02:00,2025-05-25,12:54,5,7,12
53,2025-05-25T04:41:00+02:00,2025-05-25,12:41,27,7,34
53,2025-05-25T04:42:00+02:00,2025-05-25,12:42,7,6,13
53,2025-05-25T04:45:00+02:00,2025-05-25,12:45,19,7,26
53,2025-05-25T04:48:00+02:00,2025-05-25,12:48,9,12,21
53,2025-05-25T04:52:00+02:00,2025-05-25,12:52,13,9,22
53,2025-05-25T04:53:00+02:00,2025-05-25,12:53,11,5,16
56,2025-05-25T04:42:00+02:00,2025-05-25,12:42,6,5,11
56,2025-05-25T04:53:00+02:00,2025-05-25,12:53,11,7,18
58,2025-05-25T04:46:00+02:00,2025-05-25,12:46,7,4,11
58,2025-05-25T04:49:00+02:00,2025-05-25,12:49,12,8,20
58,2025-05-25T04:54:00+02:00,2025-05-25,12:54,5,1,6
62,2025-05-25T04:44:00+02:00,2025-05-25,12:44,8,4,12
62,2025-05-25T04:46:00+02:00,2025-05-25,12:46,1,5,6
62,2025-05-25T04:47:00+02:00,2025-05-25,12:47,6,3,9
62,2025-05-25T04:50:00+02:00,2025-05-25,12:50,5,3,8
62,2025-05-25T04:52:00+02:00,2025-05-25,12:52,3,3,6
63,2025-05-25T04:41:00+02:00,2025-05-25,12:41,12,2,14
63,2025-05-25T04:43:00+02:00,2025-05-25,12:43,7,3,10
63,2025-05-25T04:44:00+02:00,2025-05-25,12:44,6,6,12
63,2025-05-25T04:48:00+02:00,2025-05-25,12:48,9,6,15
63,2025-05-25T04:53:00+02:00,2025-05-25,12:53,4,4,8
67,2025-05-25T04:44:00+02:00,2025-05-25,12:44,7,11,18
67,2025-05-25T04:45:00+02:00,2025-05-25,12:45,2,13,15
67,2025-05-25T04:48:00+02:00,2025-05-25,12:48,2,7,9
67,2025-05-25T04:54:00+02:00,2025-05-25,12:54,4,15,19
68,2025-05-25T04:44:00+02:00,2025-05-25,12:44,4,7,11
68,2025-05-25T04:45:00+02:00,2025-05-25,12:45,5,0,5
68,2025-05-25T04:50:00+02:00,2025-05-25,12:50,3,2,5
68,2025-05-25T04:51:00+02:00,2025-05-25,12:51,5,2,7
68,2025-05-25T04:52:00+02:00,2025-05-25,12:52,3,1,4
72,2025-05-25T04:42:00+02:00,2025-05-25,12:42,2,6,8
72,2025-05-25T04:43:00+02:00,2025-05-25,12:43,5,6,11
72,2025-05-25T04:45:00+02:00,2025-05-25,12:45,8,12,20
72,2025-05-25T04:48:00+02:00,2025-05-25,12:48,4,15,19
72,2025-05-25T04:49:00+02:00,2025-05-25,12:49,2,21,23
72,2025-05-25T04:51:00+02:00,2025-05-25,12:51,7,5,12
76,2025-05-25T04:46:00+02:00,2025-05-25,12:46,1,0,1
76,2025-05-25T04:47:00+02:00,2025-05-25,12:47,2,2,4
76,2025-05-25T04:48:00+02:00,2025-05-25,12:48,0,2,2
79,2025-05-25T04:47:00+02:00,2025-05-25,12:47,6,7,13
79,2025-05-25T04:50:00+02:00,2025-05-25,12:50,10,6,16
79,2025-05-25T04:53:00+02:00,2025-05-25,12:53,6,6,12
85,2025-05-25T04:42:00+02:00,2025-05-25,12:42,1,0,1
85,2025-05-25T04:48:00+02:00,2025-05-25,12:48,3,2,5
85,2025-05-25T04:49:00+02:00,2025-05-25,12:49,2,5,7
85,2025-05-25T04:52:00+02:00,2025-05-25,12:52,0,4,4
86,2025-05-25T04:40:00+02:00,2025-05-25,12:40,1,1,2
86,2025-05-25T04:45:00+02:00,2025-05-25,12:45,2,2,4
86,2025-05-25T04:47:00+02:00,2025-05-25,12:47,1,0,1
109,2025-05-25T04:40:00+02:00,2025-05-25,12:40,4,1,5
109,2025-05-25T04:50:00+02:00,2025-05-25,12:50,7,9,16
117,2025-05-25T04:40:00+02:00,2025-05-25,12:40,11,13,24
123,2025-05-25T04:45:00+02:00,2025-05-25,12:45,5,0,5
130,2025-05-25T04:40:00+02:00,2025-05-25,12:40,3,2,5
130,2025-05-25T04:50:00+02:00,2025-05-25,12:50,12,3,15
137,2025-05-25T04:40:00+02:00,2025-05-25,12:40,2,0,2
137,2025-05-25T04:45:00+02:00,2025-05-25,12:45,3,0,3
137,2025-05-25T04:50:00+02:00,2025-05-25,12:50,0,5,5
141,2025-05-25T04:40:00+02:00,2025-05-25,12:40,10,15,25
142,2025-05-25T04:45:00+02:00,2025-05-25,12:45,48,45,93
161,2025-05-25T04:40:00+02:00,2025-05-25,12:40,47,26,73
181,2025-05-25T04:42:00+02:00,2025-05-25,12:42,14,25,39
181,2025-05-25T04:43:00+02:00,2025-05-25,12:43,8,15,23
181,2025-05-25T04:44:00+02:00,2025-05-25,12:44,0,21,21
181,2025-05-25T04:50:00+02:00,2025-05-25,12:50,25,16,41
181,2025-05-25T04:52:00+02:00,2025-05-25,12:52,11,24,35
182,2025-05-25T04:45:00+02:00,2025-05-25,12:45,12,11,23
180,2025-05-25T04:42:00+02:00,2025-05-25,12:42,1,0,1
3,2025-05-25T02:11:00+02:00,2025-05-25,10:11,3,2,5
3,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,9,10
3,2025-05-25T02:23:00+02:00,2025-05-25,10:23,8,4,12
4,2025-05-25T02:10:00+02:00,2025-05-25,10:10,14,1,15
4,2025-05-25T02:22:00+02:00,2025-05-25,10:22,10,6,16
