sensor_id,node_id,latitude,longitude
1,289,-37.81349441,144.96515323
3,309,-37.81101524,144.96429485
5,183,-37.81874249,144.96787656
9,243,-37.81982992,144.95102555
12,43,-37.81457988,144.94292398
17,258,-37.81362543,144.97323591
18,258,-37.81344862,144.97305353
23,245,-37.81909256,144.95452748
28,246,-37.82129925,144.96879309
30,4,-37.8112185,144.96656806
31,150,-37.80169681,144.96658911
40,2,-37.80999341,144.97227587
42,123,-37.80008566,144.96386412
47,308,-37.81258467,144.9625775
48,224,-37.80631581,144.95866697
61,268,-37.80767455,144.96309114
62,297,-37.80996494,144.96216521
63,300,-37.81333081,144.96675571
69,307,-37.81687226,144.96559144
71,291,-37.81235775,144.97136962
78,43,-37.81471642,144.9446508
84,191,-37.81798049,144.96503383
108,284,-37.81295822,144.95678789
117,184,-37.81629332,144.97090877
118,184,-37.81632783,144.97090512
123,74,-37.81753741,144.97329734
131,42,-37.82009057,144.95758725
137,114,-37.81894815,144.94612292
138,42,-37.81996544,144.95981454
139,190,-37.81959923,144.9632832
142,197,-37.81970749,144.96795734
143,179,-37.821728,144.95557015
161,184,-37.81851276,144.97131336
164,103,-37.813005,144.95160411
166,116,-37.80896733,144.94931703
181,297,-37.81009465,144.96143149
24,245,-37.81887963,144.95449198
25,181,-37.82401776,144.95604426
36,290,-37.81652527,144.96121062
41,298,-37.81668634,144.96689733
44,132,-37.79698741,144.96441306
45,300,-37.81414075,144.96609379
46,229,-37.80240719,144.9615673
49,223,-37.80730068,144.95956055
50,251,-37.79808192,144.96721013
52,308,-37.81252157,144.9619401
55,297,-37.80988941,144.96134331
56,195,-37.81234775,144.96153311
65,298,-37.81569416,144.9668064
66,309,-37.81057846,144.96444294
67,307,-37.81688755,144.96562569
68,307,-37.8168479,144.96559789
70,210,-37.80456984,144.94946228
75,85,-37.81515276,144.97467661
107,303,-37.81246271,144.95690188
108,284,-37.81295822,144.95678789
109,303,-37.81193681,144.95621105
132,266,-37.81267639,144.95386444
134,286,-37.81694221,144.95303935
140,78,-37.82590962,144.96185972
165,117,-37.80953359,144.94939004
182,286,-37.81627451,144.95550503
182,286,-37.81627451,144.95550503
2,289,-37.81380668,144.96516718
4,293,-37.81487988,144.9660878
6,191,-37.81911705,144.96558255
8,46,-37.82293543,144.9471751
10,44,-37.81876474,144.94710545
11,57,-37.81564989,144.93970694
14,187,-37.82011242,144.96291897
14,187,-37.82011242,144.96291897
14,187,-37.82011242,144.96291897
19,309,-37.81237202,144.96550671
20,282,-37.81172914,144.9682466
21,300,-37.81267313,144.96788288
27,231,-37.80606888,144.95644692
29,197,-37.8199817,144.96872865
35,191,-37.82018685,144.96508508
37,340,-37.80107122,144.96704554
39,301,-37.81379749,144.96995745
43,132,-37.79844526,144.96411782
51,223,-37.80841815,144.95906316
53,293,-37.81564191,144.965499
54,230,-37.804024,144.96308399
58,286,-37.81686075,144.95358075
59,268,-37.80825648,144.96304859
72,183,-37.81726338,144.96872809
77,43,-37.81441438,144.94433026
79,274,-37.81794046,144.96616678
86,158,-37.80309992,144.94908064
87,210,-37.80454949,144.94921863
108,284,-37.81295822,144.95678789
124,74,-37.81757416,144.97329934
130,322,-37.8204637,144.94126826
133,265,-37.81531435,144.95227769
135,286,-37.8172861,144.95319102
136,84,-37.8184141,144.97357915
141,42,-37.81997273,144.95834911
162,223,-37.80740397,144.95987909
167,103,-37.81304149,144.95155955
179,40,-37.82392385,144.96299677
182,286,-37.81627451,144.95550503
