2026-01-27 13:43:51,811 INFO    MainThread:88191 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_setup.py:_flush():81] Configure stats pid to 88191
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/mmai/Devs/Crowd-Control/rl/wandb/run-20260127_134351-jj2zq6j0/logs/debug.log
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/mmai/Devs/Crowd-Control/rl/wandb/run-20260127_134351-jj2zq6j0/logs/debug-internal.log
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_init.py:init():844] calling init triggers
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-27 13:43:51,812 INFO    MainThread:88191 [wandb_init.py:init():892] starting backend
2026-01-27 13:43:52,120 INFO    MainThread:88191 [wandb_init.py:init():895] sending inform_init request
2026-01-27 13:43:52,168 INFO    MainThread:88191 [wandb_init.py:init():903] backend started and connected
2026-01-27 13:43:52,171 INFO    MainThread:88191 [wandb_init.py:init():973] updated telemetry
2026-01-27 13:43:52,210 INFO    MainThread:88191 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-01-27 13:43:52,764 INFO    MainThread:88191 [wandb_init.py:init():1044] starting run threads in backend
2026-01-27 13:43:52,915 INFO    MainThread:88191 [wandb_run.py:_console_start():2529] atexit reg
2026-01-27 13:43:52,915 INFO    MainThread:88191 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-01-27 13:43:52,915 INFO    MainThread:88191 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-01-27 13:43:52,915 INFO    MainThread:88191 [wandb_run.py:_redirect():2469] Redirects installed.
2026-01-27 13:43:52,918 INFO    MainThread:88191 [wandb_init.py:init():1084] run started, returning control to user process
2026-01-27 13:49:52,132 INFO    wandb-AsyncioManager-main:88191 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-27 13:49:52,132 INFO    wandb-AsyncioManager-main:88191 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
